X=-24.386 Y=122.598 Z=-5.000,X=-0.205 Y=0.976 Z=-0.008,X=0.358 Y=0.151
X=-24.386 Y=122.598 Z=5.000,X=-0.205 Y=0.976 Z=-0.008,X=0.358 Y=0.101
X=0.000 Y=125.000 Z=5.000,X=-0.008 Y=1.000 Z=-0.008,X=0.374 Y=0.101
X=0.000 Y=125.000 Z=-5.000,X=-0.008 Y=1.000 Z=-0.008,X=0.374 Y=0.151
X=0.000 Y=125.000 Z=-15.000,X=-0.008 Y=1.000 Z=-0.008,X=0.374 Y=0.200
X=0.000 Y=125.000 Z=-25.000,X=0.031 Y=1.000 Z=-0.016,X=0.374 Y=0.250
X=24.386 Y=122.598 Z=15.000,X=0.197 Y=0.984 Z=-0.016,X=0.389 Y=0.052
X=47.836 Y=115.485 Z=25.000,X=0.354 Y=0.937 Z=-0.016,X=0.405 Y=0.002
X=24.386 Y=122.598 Z=5.000,X=0.197 Y=0.984 Z=-0.016,X=0.389 Y=0.101
X=47.836 Y=115.485 Z=15.000,X=0.378 Y=0.921 Z=-0.008,X=0.405 Y=0.052
X=69.446 Y=103.934 Z=25.000,X=0.528 Y=0.850 Z=-0.016,X=0.420 Y=0.002
X=24.386 Y=122.598 Z=-5.000,X=0.197 Y=0.984 Z=-0.016,X=0.389 Y=0.151
X=47.836 Y=115.485 Z=5.000,X=0.378 Y=0.921 Z=-0.008,X=0.405 Y=0.101
X=69.446 Y=103.934 Z=15.000,X=0.559 Y=0.835 Z=-0.016,X=0.420 Y=0.052
X=88.388 Y=88.388 Z=25.000,X=0.685 Y=0.732 Z=-0.016,X=0.436 Y=0.002
X=24.386 Y=122.598 Z=-15.000,X=0.197 Y=0.984 Z=-0.016,X=0.389 Y=0.200
X=24.386 Y=122.598 Z=-25.000,X=0.228 Y=0.976 Z=-0.016,X=0.389 Y=0.250
X=88.388 Y=88.388 Z=15.000,X=0.709 Y=0.709 Z=-0.016,X=0.436 Y=0.052
X=103.934 Y=69.446 Z=25.000,X=0.811 Y=0.583 Z=-0.016,X=0.451 Y=0.002
X=47.836 Y=115.485 Z=-15.000,X=0.378 Y=0.921 Z=-0.008,X=0.405 Y=0.200
X=47.836 Y=115.485 Z=-25.000,X=0.417 Y=0.906 Z=-0.016,X=0.405 Y=0.250
X=47.836 Y=115.485 Z=-5.000,X=0.378 Y=0.921 Z=-0.008,X=0.405 Y=0.151
X=69.446 Y=103.934 Z=-15.000,X=0.559 Y=0.835 Z=-0.016,X=0.420 Y=0.200
X=69.446 Y=103.934 Z=-25.000,X=0.583 Y=0.811 Z=-0.016,X=0.420 Y=0.250
X=69.446 Y=103.934 Z=-5.000,X=0.559 Y=0.835 Z=-0.016,X=0.420 Y=0.151
X=69.446 Y=103.934 Z=5.000,X=0.559 Y=0.835 Z=-0.016,X=0.420 Y=0.101
X=88.388 Y=88.388 Z=5.000,X=0.709 Y=0.709 Z=-0.016,X=0.436 Y=0.101
X=88.388 Y=88.388 Z=-5.000,X=0.709 Y=0.709 Z=-0.016,X=0.436 Y=0.151
X=88.388 Y=88.388 Z=-15.000,X=0.709 Y=0.709 Z=-0.016,X=0.436 Y=0.200
X=88.388 Y=88.388 Z=-25.000,X=0.732 Y=0.685 Z=-0.016,X=0.436 Y=0.250
X=103.934 Y=69.446 Z=15.000,X=0.835 Y=0.559 Z=-0.016,X=0.451 Y=0.052
X=115.485 Y=47.835 Z=25.000,X=0.906 Y=0.417 Z=-0.016,X=0.467 Y=0.002
X=103.934 Y=69.446 Z=5.000,X=0.835 Y=0.559 Z=-0.016,X=0.451 Y=0.101
X=115.485 Y=47.835 Z=15.000,X=0.921 Y=0.378 Z=-0.008,X=0.467 Y=0.052
X=122.598 Y=24.386 Z=25.000,X=0.976 Y=0.228 Z=-0.016,X=0.482 Y=0.002
X=103.934 Y=69.446 Z=-5.000,X=0.835 Y=0.559 Z=-0.016,X=0.451 Y=0.151
X=115.485 Y=47.835 Z=5.000,X=0.921 Y=0.378 Z=-0.008,X=0.467 Y=0.101
X=122.598 Y=24.386 Z=15.000,X=0.984 Y=0.197 Z=-0.016,X=0.482 Y=0.052
X=125.000 Y=0.000 Z=25.000,X=1.000 Y=0.031 Z=-0.016,X=0.498 Y=0.002
X=125.000 Y=0.000 Z=15.000,X=1.000 Y=-0.008 Z=-0.008,X=0.498 Y=0.052
X=122.598 Y=24.386 Z=5.000,X=0.984 Y=0.197 Z=-0.016,X=0.482 Y=0.101
X=125.000 Y=0.000 Z=5.000,X=1.000 Y=-0.008 Z=-0.008,X=0.498 Y=0.101
X=115.485 Y=47.835 Z=-5.000,X=0.921 Y=0.378 Z=-0.008,X=0.467 Y=0.151
X=122.598 Y=24.386 Z=-5.000,X=0.984 Y=0.197 Z=-0.016,X=0.482 Y=0.151
X=125.000 Y=0.000 Z=-5.000,X=1.000 Y=-0.008 Z=-0.008,X=0.498 Y=0.151
